iter	Logloss
0	0.6404959788
1	0.6018043593
2	0.5686937211
3	0.5405313966
4	0.5185386071
5	0.4953697593
6	0.482540437
7	0.4683717563
8	0.4594312468
9	0.4514101286
10	0.4449377357
11	0.4391961339
12	0.4330723557
13	0.4296264139
14	0.4263953233
15	0.4237668123
16	0.42096817
17	0.4180516938
18	0.4152119907
19	0.4133370558
20	0.4112826339
21	0.4089634747
22	0.4073880687
23	0.4059062288
24	0.4047640125
25	0.4030028683
26	0.4014468775
27	0.4001386517
28	0.3990249185
29	0.3981540494
30	0.3968737446
31	0.3963223938
32	0.3954239504
33	0.3944744696
34	0.3936971546
35	0.3926221358
36	0.3920459761
37	0.3902203456
38	0.3894895122
39	0.387957188
40	0.3872159365
41	0.3861155557
42	0.3855069705
43	0.3846803286
44	0.383952339
45	0.3834574781
46	0.3819557377
47	0.3812879741
48	0.3806819177
49	0.3803504094
50	0.3796501811
51	0.3790477416
52	0.3784853366
53	0.3778959903
54	0.3768549673
55	0.3760937129
56	0.3756238749
57	0.3751403017
58	0.3747575661
59	0.3742803331
60	0.3739620506
61	0.3733628814
62	0.3731767815
63	0.3730126889
64	0.3723339148
65	0.3719731142
66	0.3708759916
67	0.37053564
68	0.3703057681
69	0.3695488178
70	0.3692042766
71	0.3685047295
72	0.3680591669
73	0.367825761
74	0.3677895227
75	0.3668281407
76	0.3660368404
77	0.3654639058
78	0.3650661314
79	0.3647649253
80	0.364206089
81	0.3640582619
82	0.36382787
83	0.3634872924
84	0.3632645925
85	0.3625979983
86	0.3618453023
87	0.3606466941
88	0.3598654292
89	0.3593467615
90	0.3588433331
91	0.3585791278
92	0.3579755625
93	0.357199833
94	0.3567620542
95	0.3559084634
96	0.3554298243
97	0.3548948083
98	0.3546275844
99	0.3543427085
100	0.3537031039
101	0.3533651711
102	0.3528843513
103	0.3524025429
104	0.3520972647
105	0.351419657
106	0.3508740209
107	0.3504349446
108	0.3494949717
109	0.348798939
110	0.3479924552
111	0.3476674981
112	0.3472011308
113	0.3466440381
114	0.3463246842
115	0.3460219649
116	0.3454185443
117	0.3450552496
118	0.344641906
119	0.3441999709
120	0.3437491382
121	0.3430793038
122	0.3426936295
123	0.3421872639
124	0.341556391
125	0.341302093
126	0.3410014972
127	0.3402396896
128	0.3398206841
129	0.3395159514
130	0.3387211518
131	0.3380909586
132	0.3374374636
133	0.3370057311
134	0.3364443027
135	0.3359656576
136	0.3353948614
137	0.3350740908
138	0.3345945445
139	0.3341745473
140	0.3336513164
141	0.3330640423
142	0.3325649646
143	0.3321780711
144	0.3318787171
145	0.3314734513
146	0.330944801
147	0.3306419898
148	0.3299845328
149	0.3294926227
150	0.329052291
151	0.32875047
152	0.3283017667
153	0.3278612166
154	0.3274373267
155	0.3269519391
156	0.3266568771
157	0.3263980851
158	0.3261112123
159	0.3256863716
160	0.3252366631
161	0.3248375505
162	0.3244857861
163	0.3241022337
164	0.3235649466
165	0.3232067065
166	0.3227402036
167	0.3222285738
168	0.3215863635
169	0.3210418863
170	0.3205966478
171	0.3201071323
172	0.3195111023
173	0.3189655264
174	0.3186354363
175	0.3181791888
176	0.3177668369
177	0.3174504864
178	0.3171851297
179	0.3167245826
180	0.316263059
181	0.3156780484
182	0.3151839124
183	0.3151205459
184	0.314749413
185	0.3144109859
186	0.3139288399
187	0.3136220788
188	0.3130083109
189	0.3126866632
190	0.3121807557
191	0.3117556059
192	0.3115126861
193	0.3110648132
194	0.3106115029
195	0.3102972683
196	0.3098128121
197	0.3092700001
198	0.3089334704
199	0.3085174714
200	0.3082404171
201	0.307974753
202	0.3076068301
203	0.3072263641
204	0.3068970682
205	0.3065937401
206	0.3061381873
207	0.3056934687
208	0.3055649558
209	0.3052308916
210	0.3050107582
211	0.3047250127
212	0.3044313207
213	0.3042072599
214	0.3038549786
215	0.3033942687
216	0.3031593573
217	0.3027998015
218	0.3023895715
219	0.3020548442
220	0.301809941
221	0.3015434525
222	0.3012703059
223	0.3009619594
224	0.300565671
225	0.3001648178
226	0.2999744846
227	0.2995579702
228	0.2993379001
229	0.2990710077
230	0.2988445944
231	0.2986326111
232	0.2983166404
233	0.2981102768
234	0.2978389055
235	0.2976851678
236	0.2971730211
237	0.296792299
238	0.2964079192
239	0.2960613858
240	0.295633653
241	0.2952397096
242	0.2949514519
243	0.2946413873
244	0.2943440256
245	0.2940516582
246	0.2936837715
247	0.293662792
248	0.2934117687
249	0.2929397395
250	0.2927116022
251	0.29250137
252	0.2922547729
253	0.291715926
254	0.2913591312
255	0.2910523836
256	0.2908527067
257	0.2905463887
258	0.2901965156
259	0.289800277
260	0.2893913641
261	0.2890850144
262	0.2887650636
263	0.2885226094
264	0.2882464246
265	0.2879620943
266	0.2876918081
267	0.287208895
268	0.2869590638
269	0.2866540222
270	0.2864848675
271	0.286323923
272	0.2860584609
273	0.2855270723
274	0.2852398093
275	0.2849097493
276	0.2846074399
277	0.284340424
278	0.284004372
279	0.2836733008
280	0.2834657949
281	0.28330262
282	0.2829919135
283	0.2828230842
284	0.2824894465
285	0.2822059873
286	0.2818515705
287	0.2815866478
288	0.2811435899
289	0.280966683
290	0.2806720203
291	0.280333744
292	0.280052274
293	0.2797771893
294	0.2794262071
295	0.2792301426
296	0.2790457231
297	0.2788852127
298	0.2785987258
299	0.2784317879
