iter	Passed	Remaining
0	13	3966
1	27	4051
2	42	4214
3	56	4200
4	70	4149
5	84	4134
6	97	4085
7	111	4081
8	125	4067
9	139	4053
10	153	4033
11	167	4008
12	180	3980
13	193	3959
14	207	3947
15	222	3950
16	236	3933
17	251	3941
18	265	3925
19	280	3924
20	296	3942
21	312	3943
22	326	3934
23	342	3935
24	356	3917
25	371	3914
26	386	3910
27	409	3973
28	426	3986
29	456	4109
30	472	4098
31	489	4096
32	507	4102
33	525	4114
34	541	4102
35	566	4153
36	587	4178
37	605	4174
38	621	4159
39	637	4146
40	654	4135
41	669	4113
42	684	4088
43	700	4075
44	718	4068
45	732	4045
46	747	4025
47	763	4005
48	778	3989
49	793	3967
50	815	3983
51	833	3973
52	848	3952
53	862	3930
54	878	3914
55	898	3913
56	917	3913
57	939	3918
58	959	3918
59	979	3918
60	998	3911
61	1020	3917
62	1039	3911
63	1055	3893
64	1079	3903
65	1100	3901
66	1118	3889
67	1134	3870
68	1148	3846
69	1164	3825
70	1181	3812
71	1199	3797
72	1221	3797
73	1249	3816
74	1264	3792
75	1291	3806
76	1311	3797
77	1333	3795
78	1363	3813
79	1390	3823
80	1414	3825
81	1428	3797
82	1445	3778
83	1460	3754
84	1474	3729
85	1488	3704
86	1502	3679
87	1515	3652
88	1532	3632
89	1547	3610
90	1561	3585
91	1574	3560
92	1588	3536
93	1603	3514
94	1619	3494
95	1634	3474
96	1648	3450
97	1663	3429
98	1678	3408
99	1692	3384
100	1705	3360
101	1718	3336
102	1733	3316
103	1747	3293
104	1761	3271
105	1774	3247
106	1788	3225
107	1801	3203
108	1815	3180
109	1828	3158
110	1841	3136
111	1855	3114
112	1868	3091
113	1881	3069
114	1894	3047
115	1906	3023
116	1920	3003
117	1932	2981
118	1946	2960
119	1958	2937
120	1971	2915
121	1983	2893
122	1996	2873
123	2009	2852
124	2022	2831
125	2036	2812
126	2049	2791
127	2061	2769
128	2074	2749
129	2087	2729
130	2101	2710
131	2114	2691
132	2128	2672
133	2143	2654
134	2156	2636
135	2170	2616
136	2183	2597
137	2195	2577
138	2208	2558
139	2221	2538
140	2233	2518
141	2246	2499
142	2259	2481
143	2272	2461
144	2285	2442
145	2298	2424
146	2311	2406
147	2324	2387
148	2338	2369
149	2351	2351
150	2364	2333
151	2377	2314
152	2390	2296
153	2404	2279
154	2419	2263
155	2431	2244
156	2443	2225
157	2458	2209
158	2469	2190
159	2482	2172
160	2495	2154
161	2508	2136
162	2520	2118
163	2533	2100
164	2547	2084
165	2561	2067
166	2574	2050
167	2587	2033
168	2601	2016
169	2615	2000
170	2629	1983
171	2643	1966
172	2656	1950
173	2669	1932
174	2682	1915
175	2695	1899
176	2708	1882
177	2721	1865
178	2733	1848
179	2744	1829
180	2757	1812
181	2769	1795
182	2781	1778
183	2793	1761
184	2805	1744
185	2819	1727
186	2831	1711
187	2845	1694
188	2857	1678
189	2870	1661
190	2883	1645
191	2896	1629
192	2908	1612
193	2921	1596
194	2934	1580
195	2947	1563
196	2960	1548
197	2974	1532
198	2988	1516
199	3001	1500
200	3015	1485
201	3029	1469
202	3042	1453
203	3055	1437
204	3068	1422
205	3080	1405
206	3093	1389
207	3106	1374
208	3118	1358
209	3131	1342
210	3143	1325
211	3155	1309
212	3168	1294
213	3180	1278
214	3193	1262
215	3207	1247
216	3220	1231
217	3234	1216
218	3248	1201
219	3262	1186
220	3274	1170
221	3287	1155
222	3301	1139
223	3313	1124
224	3326	1108
225	3339	1093
226	3353	1078
227	3366	1063
228	3379	1047
229	3393	1032
230	3406	1017
231	3420	1002
232	3434	987
233	3446	972
234	3459	956
235	3472	941
236	3485	926
237	3499	911
238	3511	896
239	3524	881
240	3537	865
241	3550	850
242	3562	835
243	3575	820
244	3587	805
245	3600	790
246	3612	775
247	3624	760
248	3637	745
249	3651	730
250	3663	715
251	3676	700
252	3688	685
253	3702	670
254	3715	655
255	3728	640
256	3741	626
257	3755	611
258	3769	596
259	3782	581
260	3802	568
261	3816	553
262	3829	538
263	3842	523
264	3855	509
265	3868	494
266	3881	479
267	3895	465
268	3909	450
269	3922	435
270	3936	421
271	3949	406
272	3961	391
273	3974	377
274	3986	362
275	3998	347
276	4011	333
277	4024	318
278	4036	303
279	4048	289
280	4060	274
281	4074	260
282	4086	245
283	4098	230
284	4110	216
285	4123	201
286	4135	187
287	4148	172
288	4161	158
289	4174	143
290	4187	129
291	4199	115
292	4212	100
293	4225	86
294	4238	71
295	4251	57
296	4263	43
297	4275	28
298	4287	14
299	4300	0
