Unnamed: 0,loan_percent_income,person_income,loan_intent,loan_grade,loan_int_rate,person_age,loan_amnt,default,predicted_default_prob,loan_status_text,past_default_text
0,0.1,9600,EDUCATION,B,11.14,21,1000,0,0.2843887476396509,Оплачен,Нет дефолтов в БКИ
1,0.57,9600,MEDICAL,C,12.87,25,5500,1,1.0,Дефолт,Нет дефолтов в БКИ
2,0.53,65500,MEDICAL,C,15.23,23,35000,1,0.925356417425383,Дефолт,Нет дефолтов в БКИ
3,0.55,54400,MEDICAL,C,14.27,24,35000,1,0.919571756157122,Дефолт,Были дефолты в БКИ
4,0.25,9900,VENTURE,A,7.14,21,2500,1,0.9859148749451514,Дефолт,Нет дефолтов в БКИ
5,0.45,77100,EDUCATION,B,12.42,26,35000,1,0.5940043175313413,Дефолт,Нет дефолтов в БКИ
6,0.44,78956,MEDICAL,B,11.11,24,35000,1,0.6258635252961836,Дефолт,Нет дефолтов в БКИ
7,0.42,83000,PERSONAL,A,8.9,24,35000,1,0.6396671923080371,Дефолт,Нет дефолтов в БКИ
8,0.16,10000,VENTURE,D,14.74,21,1600,1,0.9905660377358491,Дефолт,Нет дефолтов в БКИ
9,0.41,85000,VENTURE,B,10.37,22,35000,1,0.49373450754686454,Дефолт,Нет дефолтов в БКИ
10,0.45,10000,HOMEIMPROVEMENT,A,8.63,21,4500,1,1.0,Дефолт,Нет дефолтов в БКИ
11,0.37,95000,VENTURE,A,7.9,23,35000,1,0.16066656452439318,Дефолт,Нет дефолтов в БКИ
12,0.32,108160,EDUCATION,E,18.39,26,35000,1,0.6721828087776774,Дефолт,Нет дефолтов в БКИ
13,0.3,115000,EDUCATION,A,7.9,23,35000,0,0.0063438452208280805,Оплачен,Нет дефолтов в БКИ
14,0.06,500000,DEBTCONSOLIDATION,B,10.65,23,30000,0,0.030672799449626996,Оплачен,Нет дефолтов в БКИ
15,0.29,120000,EDUCATION,A,7.9,23,35000,0,0.0063438452208280805,Оплачен,Нет дефолтов в БКИ
16,0.32,92111,MEDICAL,F,20.25,23,35000,1,0.9711521183219297,Дефолт,Нет дефолтов в БКИ
17,0.31,113000,DEBTCONSOLIDATION,D,18.25,23,35000,1,0.92573631637362,Дефолт,Нет дефолтов в БКИ
18,0.16,10800,EDUCATION,B,10.99,24,1750,1,0.9925925925925926,Дефолт,Нет дефолтов в БКИ
19,0.22,162500,VENTURE,A,7.49,25,35000,0,0.0,Оплачен,Нет дефолтов в БКИ
20,0.25,137000,PERSONAL,E,16.77,25,34800,0,0.4222534802743387,Оплачен,Были дефолты в БКИ
21,0.52,65000,EDUCATION,D,17.58,22,34000,1,0.827657496931818,Дефолт,Нет дефолтов в БКИ
22,0.14,10980,PERSONAL,A,7.29,24,1500,0,0.14585354904279207,Оплачен,Нет дефолтов в БКИ
23,0.42,80000,PERSONAL,D,14.54,22,33950,1,0.641836992068541,Дефолт,Были дефолты в БКИ
24,0.49,67746,HOMEIMPROVEMENT,C,12.68,24,33000,1,0.6743891862985881,Дефолт,Нет дефолтов в БКИ
25,0.42,11000,VENTURE,E,17.74,21,4575,1,1.0,Дефолт,Были дефолты в БКИ
26,0.13,11000,PERSONAL,A,9.32,23,1400,0,0.39905062202645275,Оплачен,Нет дефолтов в БКИ
27,0.5,65000,HOMEIMPROVEMENT,B,9.99,24,32500,1,0.5191872952547202,Дефолт,Нет дефолтов в БКИ
28,0.35,11389,EDUCATION,C,12.84,21,4000,1,1.0,Дефолт,Были дефолты в БКИ
