,loan_percent_income,person_income,loan_intent,loan_grade,cb_person_default_on_file,loan_int_rate,person_age,loan_amnt,default
0,0.1,9600,EDUCATION,B,0,11.14,21,1000,0
1,0.57,9600,MEDICAL,C,0,12.87,25,5500,1
2,0.53,65500,MEDICAL,C,0,15.23,23,35000,1
3,0.55,54400,MEDICAL,C,1,14.27,24,35000,1
4,0.25,9900,VENTURE,A,0,7.14,21,2500,1
5,0.45,77100,EDUCATION,B,0,12.42,26,35000,1
6,0.44,78956,MEDICAL,B,0,11.11,24,35000,1
7,0.42,83000,PERSONAL,A,0,8.9,24,35000,1
8,0.16,10000,VENTURE,D,0,14.74,21,1600,1
9,0.41,85000,VENTURE,B,0,10.37,22,35000,1
10,0.45,10000,HOMEIMPROVEMENT,A,0,8.63,21,4500,1
11,0.37,95000,VENTURE,A,0,7.9,23,35000,1
12,0.32,108160,EDUCATION,E,0,18.39,26,35000,1
13,0.3,115000,EDUCATION,A,0,7.9,23,35000,0
14,0.06,500000,DEBTCONSOLIDATION,B,0,10.65,23,30000,0
15,0.29,120000,EDUCATION,A,0,7.9,23,35000,0
16,0.32,92111,MEDICAL,F,0,20.25,23,35000,1
17,0.31,113000,DEBTCONSOLIDATION,D,0,18.25,23,35000,1
18,0.16,10800,EDUCATION,B,0,10.99,24,1750,1
19,0.22,162500,VENTURE,A,0,7.49,25,35000,0
20,0.25,137000,PERSONAL,E,1,16.77,25,34800,0
21,0.52,65000,EDUCATION,D,0,17.58,22,34000,1
22,0.14,10980,PERSONAL,A,0,7.29,24,1500,0
23,0.42,80000,PERSONAL,D,1,14.54,22,33950,1
24,0.49,67746,HOMEIMPROVEMENT,C,0,12.68,24,33000,1
25,0.42,11000,VENTURE,E,1,17.74,21,4575,1
26,0.13,11000,PERSONAL,A,0,9.32,23,1400,0
27,0.5,65000,HOMEIMPROVEMENT,B,0,9.99,24,32500,1
28,0.35,11389,EDUCATION,C,1,12.84,21,4000,1
29,0.17,11520,MEDICAL,B,0,11.12,21,2000,1
30,0.27,120000,VENTURE,A,0,6.62,25,32000,0
31,0.33,95000,HOMEIMPROVEMENT,C,1,14.17,26,31050,1
32,0.08,306000,DEBTCONSOLIDATION,C,0,13.85,25,24250,0
33,0.03,300000,MEDICAL,C,0,13.49,26,7800,0
34,0.21,12000,EDUCATION,A,0,7.51,21,2500,1
35,0.63,48000,EDUCATION,E,0,18.39,22,30000,1
36,0.47,64000,DEBTCONSOLIDATION,D,1,14.54,24,30000,1
37,0.4,75000,HOMEIMPROVEMENT,D,1,16.89,25,30000,1
38,0.42,71500,DEBTCONSOLIDATION,D,0,11.011694892245037,23,30000,1
39,0.41,62050,MEDICAL,E,0,17.99,26,30000,1
40,0.21,12000,VENTURE,B,0,12.69,24,2500,1
41,0.07,300000,VENTURE,A,0,7.88,26,20000,0
42,0.08,300000,EDUCATION,F,1,19.41,23,24250,0
43,0.03,300000,HOMEIMPROVEMENT,B,0,10.38,26,10000,0
44,0.08,300000,EDUCATION,D,0,15.33,26,25000,0
45,0.06,300000,HOMEIMPROVEMENT,E,0,16.45,25,18000,0
46,0.37,80690,PERSONAL,A,0,7.49,26,30000,1
47,0.38,66300,MEDICAL,B,0,12.69,22,30000,1
48,0.34,89028,DEBTCONSOLIDATION,A,0,6.62,26,30000,1
49,0.38,78000,DEBTCONSOLIDATION,D,1,11.011694892245037,24,30000,1
50,0.38,78000,DEBTCONSOLIDATION,F,1,18.62,23,30000,1
51,0.33,92004,PERSONAL,C,1,15.23,23,30000,1
52,0.31,97000,VENTURE,B,0,10.65,23,30000,1
53,0.25,120000,EDUCATION,A,0,7.9,25,30000,0
54,0.04,280000,PERSONAL,C,1,15.96,26,10000,0
55,0.07,277104,VENTURE,B,0,11.48,26,20000,0
56,0.13,277000,PERSONAL,A,0,11.011694892245037,23,35000,0
57,0.23,128000,PERSONAL,A,0,7.29,25,30000,0
